kew_id,taxon_name,sporophytic_chromosome_number,infraspecific_variation_chrom_number,other_reported_sporophytic_chromosome_number,source_of_other_chrom_num
301322-2,Betula nana L.,28,n,28,"C-ValueDB, Šmarda et al. 2019"
32197-2,Betula papyrifera Marshall,NA,NA,84,C-ValueDB
295174-1,Betula pendula Roth,28 (mode),m,28,"Šmarda et al. 2019, Zonneveld, 2019"
295185-1,Betula pubescens Ehrh.,56 (mode),m,56,"C-ValueDB, Šmarda et al. 2019"
295229-1,Betula utilis D.Don,NA,NA,56,C-ValueDB
184769-1,Bidens bipinnata L.,NA,NA,NA,NA
184796-1,Bidens cernua L.,24,n,NA,NA
184825-1,Bidens connata Muhl. ex Willd.,NA,NA,"48, 72","Zonneveld, 2019"
184905-1,Bidens ferulifolia (Jacq.) Sweet,NA,NA,NA,NA
315743-2,Bidens frondosa L.,NA,NA,48,"C-ValueDB, Zonneveld, 2019"
32564-2,Bidens pilosa L.,NA,NA,"72, 24-48","Zonneveld, 2019"
185293-1,Bidens tripartita L.,48,n,48,"Zonneveld, 2019"
693182-1,Bistorta affinis (D.Don) Greene,NA,NA,NA,NA
693185-1,Bistorta amplexicaulis (D.Don) Greene,NA,NA,NA,NA
60430545-2,Bistorta officinalis Delarbre,48,n,48,Šmarda et al. 2019
60430544-2,Bistorta vivipara (L.) Delarbre,NA,NA,NA,NA
366508-1,Blackstonia perfoliata (L.) Huds.,40,n,44,C-ValueDB
33533-2,Blechnum cordatum (Desv.) Hieron.,NA,NA,NA,NA
17059990-1,Blechnum penna-marina (Poir.) Kuhn,NA,NA,NA,NA
30079143-2,Blechnum spicant (L.) Roth,68,n,68,"Šmarda et al. 2019, Zonneveld, 2019"
30117327-2,Blitum bonus-henricus (L.) Rchb.,36,n,NA,NA
302085-2,Blitum capitatum L.,NA,NA,NA,NA
1144343-2,Blysmus compressus (L.) Panz. ex Link,NA,NA,"44, 78","Šmarda et al. 2019, Zonneveld, 2019"
298083-1,Blysmus rufus (Huds.) Link,80,n,40,"Zonneveld, 2019"
60436211-2,"Bolboschoenus laticarpus Marhold, Hroudová, Duchácek & Zákr.",NA,NA,110,Šmarda et al. 2019
298094-1,Bolboschoenus maritimus (L.) Palla,NA,NA,40-110,"Šmarda et al. 2019, Zonneveld, 2019"
113618-1,Borago officinalis L.,NA,NA,16,"C-ValueDB, Zonneveld, 2019"
113620-1,Borago pygmaea (DC.) Chater & Greuter,NA,NA,NA,NA
30021929-2,Botrychium lunaria (L.) Sw.,90,n,90,Šmarda et al. 2019
35821-2,Brachiaria platyphylla (Munro ex C.Wright) Nash,NA,NA,NA,NA
186068-1,Brachyglottis monroi (Hook.f.) B.Nord.,NA,NA,NA,NA
186076-1,Brachyglottis repanda J.R.Forst. & G.Forst.,NA,NA,NA,NA
393166-1,Brachypodium pinnatum (L.) P.Beauv.,28,n,"18, 28","C-ValueDB, Šmarda et al. 2019"
393183-1,Brachypodium rupestre (Host) Roem. & Schult.,NA,NA,NA,NA
393196-1,Brachypodium sylvaticum (Huds.) P.Beauv.,18| 20,v,"18, 28, 44","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
279278-1,Brassica carinata A.Braun,NA,NA,34,C-ValueDB
279314-1,Brassica elongata Ehrh.,NA,NA,NA,NA
60442520-2,Brassica juncea (L.) Czern.,NA,NA,36,"C-ValueDB, Zonneveld, 2019"
279419-1,Brassica napus L.,38,n,38,"Šmarda et al. 2019, Zonneveld, 2019"
279422-1,Brassica nigra (L.) W.D.J.Koch,16,n,16,"C-ValueDB, Zonneveld, 2019"
279435-1,Brassica oleracea L.,18,n,NA,NA
279485-1,Brassica rapa L.,20,n,20,"C-ValueDB, Zonneveld, 2019"
72385-3,Brassica tournefortii Gouan,NA,NA,20,C-ValueDB
393293-1,Briza maxima L.,NA,NA,14,"C-ValueDB, Zonneveld, 2019"
393294-1,Briza media L.,14| 28,vs,"14, 28","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
393299-1,Briza minor L.,NA,NA,10,C-ValueDB
393410-1,Bromopsis benekenii (Lange) Holub,28,n,NA,NA
393422-1,Bromopsis erecta (Huds.) Fourr.,NA,NA,28-112,"Zonneveld, 2019"
393432-1,Bromopsis inermis (Leyss.) Holub,NA,NA,NA,NA
393463-1,Bromopsis ramosa (Huds.) Holub,42,n,NA,NA
393536-1,Bromus arvensis L.,NA,NA,14,"C-ValueDB, Zonneveld, 2019"
30016331-2,Bromus hordeaceus L.,28,n,28,Šmarda et al. 2019
393790-1,Bromus interruptus (Hack.) Druce,28,n,28,C-ValueDB
60459493-2,Bromus japonicus Thunb.,NA,NA,14,"C-ValueDB, Šmarda et al. 2019"
393818-1,Bromus lanceolatus Roth,NA,NA,NA,NA
393828-1,Bromus lepidus Holmb.,28,n,28,C-ValueDB
394033-1,Bromus pseudosecalinus P.M.Sm.,NA,NA,NA,NA
394050-1,Bromus racemosus L.,28,n,28,C-ValueDB
394095-1,Bromus secalinus L.,NA,NA,28,"C-ValueDB, Zonneveld, 2019"
113714-1,Brunnera macrophylla (Adams) I.M.Johnst.,NA,NA,12,"Zonneveld, 2019"
291584-1,Bryonia dioica Jacq.,20,n,20,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
545677-1,Buddleja alternifolia Maxim.,NA,NA,NA,NA
545734-1,Buddleja davidii Franch.,NA,NA,76,"Šmarda et al. 2019, Zonneveld, 2019"
545763-1,Buddleja globosa Hope,NA,NA,38,C-ValueDB
113724-1,Buglossoides arvensis (L.) I.M.Johnst.,40,n,28,Šmarda et al. 2019
279703-1,Bunias orientalis L.,NA,NA,14,"C-ValueDB, Šmarda et al. 2019"
838875-1,Bunium bulbocastanum L.,NA,NA,NA,NA
186459-1,Buphthalmum salicifolium L.,NA,NA,20,"C-ValueDB, Šmarda et al. 2019"
186467-1,Buphthalmum speciosum Schreb.,NA,NA,NA,NA
839062-1,Bupleurum baldense Turra,NA,NA,NA,NA
839147-1,Bupleurum falcatum L.,NA,NA,16-32,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
839164-1,Bupleurum fruticosum L.,NA,NA,14,C-ValueDB
38361-2,Bupleurum rotundifolium L.,NA,NA,16,"Zonneveld, 2019"
839420-1,Bupleurum subovatum Link ex Spreng.,NA,NA,NA,NA
839434-1,Bupleurum tenuissimum L.,NA,NA,16,"Šmarda et al. 2019, Zonneveld, 2019"
58290-1,Butomus umbellatus L.,26| 39,v,"26, 39","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
340317-1,Buxus sempervirens L.,28,n,"28, 42",C-ValueDB
273581-2,Cabomba caroliniana A.Gray,NA,NA,"24, 96, 104","Zonneveld, 2019"
30179231-2,Cakile maritima Scop.,18,n,18,"C-ValueDB, Zonneveld, 2019"
77145450-1,Calamagrostis canescens (F.H.Wigg.) Roth,c.28,n,28,Šmarda et al. 2019
394433-1,Calamagrostis epigejos (L.) Roth,28,n,"28, 56","Šmarda et al. 2019, Zonneveld, 2019"
394764-1,Calamagrostis purpurea (Trin.) Trin.,56,n,NA,NA
394822-1,Calamagrostis scotica (Druce) Druce,NA,NA,NA,NA
30241135-2,Calamagrostis stricta (Timm) Koeler,28,p,28,Šmarda et al. 2019
800227-1,Calceolaria chelidonioides Kunth,NA,NA,NA,NA
187819-1,Calendula arvensis L.,NA,NA,"36, 44","C-ValueDB, Zonneveld, 2019"
187894-1,Calendula officinalis L.,NA,NA,"28, 32","C-ValueDB, Zonneveld, 2019"
86508-1,Calla palustris L.,NA,NA,"36, 72","Šmarda et al. 2019, Zonneveld, 2019"
188023-1,Callistephus chinensis (L.) Nees,NA,NA,NA,NA
429978-1,Callitriche brutia Petagna,28| 38,v,"28, 38","C-ValueDB, Zonneveld, 2019"
330920-2,Callitriche hermaphroditica L.,6,n,6,"C-ValueDB, Šmarda et al. 2019"
430025-1,Callitriche obtusangula Le Gall,10,n,10,"Zonneveld, 2019"
42511-2,Callitriche palustris L.,NA,NA,20,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
330921-2,Callitriche platycarpa Kütz.,20,n,20,"C-ValueDB, Zonneveld, 2019"
430045-1,Callitriche stagnalis Scop.,10,n,"10, 15",C-ValueDB
430056-1,Callitriche truncata Guss.,6,n,NA,NA
327305-1,Calluna vulgaris (L.) Hull,16,n,NA,NA
42548-2,Calocedrus decurrens (Torr.) Florin,NA,NA,NA,NA
42867-2,Caltha palustris L.,48-c.80,vs,"16, 24, 32, 56","C-ValueDB, Šmarda et al. 2019"
265687-1,Calystegia pulchra Brummitt & Heywood,22,n,NA,NA
30033025-2,Calystegia sepium (L.) R.Br.,22,n,22,"C-ValueDB, Šmarda et al. 2019"
143196-3,Calystegia silvatica (Kit.) Griseb.,22,n,NA,NA
265700-1,Calystegia soldanella (L.) R.Br.,22,n,NA,NA
279860-1,Camelina microcarpa Andrz. ex DC.,NA,NA,38,Šmarda et al. 2019
279870-1,Camelina sativa (L.) Crantz,NA,NA,NA,NA
139873-1,Campanula alliariifolia Willd.,34,n,NA,NA
140127-1,Campanula cochleariifolia Lam.,68,n,NA,NA
140332-1,Campanula fragilis Cirillo,32,n,NA,NA
140344-1,Campanula garganica Ten.,34,n,34,"Zonneveld, 2019"
140364-1,Campanula glomerata L.,30,n,30,Šmarda et al. 2019
140535-1,Campanula lactiflora M.Bieb.,NA,NA,NA,NA
140562-1,Campanula latifolia L.,34,s,34,"Šmarda et al. 2019, Zonneveld, 2019"
140670-1,Campanula medium L.,NA,NA,34,"Zonneveld, 2019"
140798-1,Campanula patula L.,20| 40,v,"20, 40","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
140828-1,Campanula persicifolia L.,16| 32,v,"16, 32","Šmarda et al. 2019, Zonneveld, 2019"
140868-1,Campanula portenschlagiana Schult.,34,n,34,"Zonneveld, 2019"
140870-1,Campanula poscharskyana Degen,34,n,34,"Zonneveld, 2019"
140920-1,Campanula pyramidalis L.,34,n,34,"Zonneveld, 2019"
140949-1,Campanula rapunculoides L.,102,n,"68, 102","Šmarda et al. 2019, Zonneveld, 2019"
140952-1,Campanula rapunculus L.,NA,NA,20,"Zonneveld, 2019"
140981-1,Campanula rhomboidalis L.,NA,NA,NA,NA
30036649-2,Campanula rotundifolia L.,34| 68| 85| 102,v,"34, 68, 102","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
141236-1,Campanula trachelium L.,34,s,34,"Šmarda et al. 2019, Zonneveld, 2019"
306087-2,Cannabis sativa L.,NA,NA,20,Šmarda et al. 2019
30092589-2,Capsella bursa-pastoris (L.) Medik.,16| 32,v,32,"C-ValueDB, Šmarda et al. 2019"
280061-1,Capsella rubella Reut.,NA,NA,16,"C-ValueDB, Zonneveld, 2019"
316944-2,Capsicum annuum L.,NA,NA,NA,NA
280132-1,Cardamine amara L.,16,n,"16, 32","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
280205-1,Cardamine bulbifera (L.) Crantz,NA,NA,32-128,"Zonneveld, 2019"
280246-1,Cardamine corymbosa Hook.f.,NA,NA,48,"Zonneveld, 2019"
45189-2,Cardamine flexuosa With.,32,p,32,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
280365-1,Cardamine heptaphylla (Vill.) O.E.Schulz,NA,NA,NA,NA
280380-1,Cardamine hirsuta L.,16,n,16,"C-ValueDB, Šmarda et al. 2019"
280391-1,Cardamine impatiens L.,NA,NA,16,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
45334-2,Cardamine pratensis L.,30-72,v,"28, 30-72","Šmarda et al. 2019, Zonneveld, 2019"
60447657-2,Cardamine quinquefolia (M.Bieb.) Schmalh.,NA,NA,NA,NA
280612-1,Cardamine raphanifolia Pourr.,NA,NA,NA,NA
280715-1,Cardamine trifolia L.,NA,NA,16,Šmarda et al. 2019
188363-1,Carduus acanthoides L.,NA,NA,22,"Šmarda et al. 2019, Zonneveld, 2019"
188569-1,Carduus crispus L.,16,n,16,"Šmarda et al. 2019, Zonneveld, 2019"
188890-1,Carduus nutans L.,16,n,16,"Šmarda et al. 2019, Zonneveld, 2019"
188996-1,Carduus pycnocephalus L.,NA,NA,NA,NA
189106-1,Carduus tenuiflorus Curtis,54,n,54,"Zonneveld, 2019"
30197372-2,Carex acuta L.,82-85,v,"82, 83, 84","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
298427-1,Carex acutiformis Ehrh.,38,n,"38, 78","Šmarda et al. 2019, Zonneveld, 2019"
298604-1,Carex appropinquata Schumach.,NA,NA,64,"C-ValueDB, Šmarda et al. 2019"
298610-1,Carex aquatilis Wahlenb.,76| 77,v,"76, 77","Zonneveld, 2019"
298633-1,Carex arenaria L.,NA,NA,28-64,"C-ValueDB, Zonneveld, 2019"
30009416-2,Carex atrata L.,54,n,54,"C-ValueDB, Šmarda et al. 2019"
30016513-2,Carex atrofusca Schkuhr,NA,NA,38,C-ValueDB
45854-2,Carex bigelowii Torr. ex Schwein.,68-71,v,69,Šmarda et al. 2019
298837-1,Carex binervis Sm.,74,n,74,C-ValueDB
298966-1,Carex buchananii Berggr.,NA,NA,NA,NA
30070684-2,Carex buxbaumii Wahlenb.,NA,NA,"74, 100, 106","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
299030-1,Carex canescens L.,NA,NA,56,"C-ValueDB, Šmarda et al. 2019"
30074480-2,Carex capillaris L.,c.54,n,54,"C-ValueDB, Šmarda et al. 2019"
324492-2,Carex caryophyllea Latourr.,68,n,"62, 66, 68","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
298997-1,Carex cespitosa L.,NA,NA,"72, 78","C-ValueDB, Šmarda et al. 2019"
299153-1,Carex chordorrhiza L.f.,NA,NA,"60, 62","C-ValueDB, Šmarda et al. 2019"
299205-1,Carex comans Berggr.,NA,NA,NA,NA
299386-1,Carex davalliana Sm.,NA,NA,46,"C-ValueDB, Šmarda et al. 2019"
299420-1,Carex demissa Hornem.,70,n,70,"C-ValueDB, Šmarda et al. 2019"
299427-1,Carex depauperata Curtis ex With.,44,n,44,C-ValueDB
299441-1,Carex diandra Schrank,NA,NA,60,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
299459-1,Carex digitata L.,48| 50,v,"34, 48, 50, 52","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
330925-2,Carex dioica L.,52,n,52,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
299497-1,Carex distans L.,74,n,"70, 72, 74","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30089381-2,Carex disticha Huds.,62,n,"60, 62","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
299516-1,Carex divisa Huds.,NA,NA,60,"C-ValueDB, Zonneveld, 2019"
299519-1,Carex divulsa Stokes,58,n,58,"C-ValueDB, Zonneveld, 2019"
46120-2,Carex echinata Murray,NA,NA,58,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
299596-1,Carex elata All.,74-77,v,74,"C-ValueDB, Šmarda et al. 2019"
299609-1,Carex elongata L.,NA,NA,56,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
299646-1,Carex ericetorum Pollich,30,n,30,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
299690-1,Carex extensa Gooden.,60,n,60,"Zonneveld, 2019"
299736-1,Carex filiformis L.,48,n,NA,NA
299756-1,Carex flacca Schreb.,76,n,76,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30043428-2,Carex flava L.,60,n,56,"C-ValueDB, Šmarda et al. 2019"
300162-1,Carex hirta L.,112,n,112,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
300208-1,Carex hostiana DC.,56,n,56,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
300229-1,Carex humilis Leyss.,36,n,36,"C-ValueDB, Šmarda et al. 2019"
332083-2,Carex lachenalii Schkuhr,NA,NA,64,C-ValueDB
300516-1,Carex laevigata Sm.,71| 72,v,"72, 74, 78, 80, 82",C-ValueDB
30041747-2,Carex lasiocarpa Ehrh.,NA,NA,56,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
46508-2,Carex lepidocarpa Tausch,68,n,68,"C-ValueDB, Šmarda et al. 2019"
300627-1,Carex leporina L.,64,n,"58, 68, 72","C-ValueDB, Šmarda et al. 2019"
300678-1,Carex limosa L.,NA,NA,"58, 62","C-ValueDB, Šmarda et al. 2019"
300842-1,Carex magellanica Lam.,58,n,59,Šmarda et al. 2019
300885-1,Carex maritima Gunnerus,NA,NA,NA,NA
300975-1,Carex microglochin Wahlenb.,NA,NA,58,C-ValueDB
301056-1,Carex montana L.,38,n,38,"C-ValueDB, Šmarda et al. 2019"
30028489-2,Carex muricata L.,NA,NA,58,"C-ValueDB, Šmarda et al. 2019"
30066383-2,Carex nigra (L.) Reichard,83-c.120,v,"83, 84, 85","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30045379-2,Carex norvegica Retz.,NA,NA,54,C-ValueDB
301357-1,Carex ornithopoda Willd.,NA,NA,54,"C-ValueDB, Šmarda et al. 2019"
301371-1,Carex otrubae Podp.,58,n,"58, 60","C-ValueDB, Zonneveld, 2019"
301409-1,Carex pallescens L.,64,n,"62, 64","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
301423-1,Carex panicea L.,32,n,32,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30075588-2,Carex paniculata L.,NA,NA,"60, 62","C-ValueDB, Šmarda et al. 2019"
301464-1,Carex pauciflora Lightf.,NA,NA,76,"C-ValueDB, Šmarda et al. 2019"
301492-1,Carex pendula Huds.,NA,NA,"58, 60","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
301587-1,Carex pilulifera L.,18,n,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
301736-1,Carex pseudocyperus L.,NA,NA,66,"C-ValueDB, Šmarda et al. 2019"
301806-1,Carex pulicaris L.,NA,NA,"58, 60","C-ValueDB, Zonneveld, 2019"
301815-1,Carex punctata Gaudin,68,n,68,"C-ValueDB, Zonneveld, 2019"
301872-1,Carex rariflora (Wahlenb.) Sm.,NA,NA,52,C-ValueDB
301879-1,Carex recta Boott,74| c.85,v,NA,NA
301911-1,Carex remota L.,60| 62,v,"60, 62","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30019363-2,Carex riparia Curtis,NA,NA,72,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
302002-1,Carex rostrata Stokes,NA,NA,"76, 72-82","Šmarda et al. 2019, Zonneveld, 2019"
302034-1,Carex rupestris All.,NA,NA,50,C-ValueDB
302056-1,Carex salina Wahlenb.,NA,NA,NA,NA
302087-1,Carex saxatilis L.,NA,NA,NA,NA
302266-1,Carex simpliciuscula Wahlenb.,NA,NA,NA,NA
302345-1,Carex spicata Huds.,NA,NA,"57, 58","Šmarda et al. 2019, Zonneveld, 2019"
302425-1,Carex strigosa Huds.,66,n,66,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
302516-1,Carex sylvatica Huds.,58,n,58,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
302723-1,Carex trinervis Degl.,NA,NA,"84, 85","Zonneveld, 2019"
302842-1,Carex vaginata Tausch,NA,NA,32,"C-ValueDB, Šmarda et al. 2019"
302885-1,Carex vesicaria L.,NA,NA,"74, 80, 82","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
302933-1,Carex viridula Michx.,NA,NA,70,C-ValueDB
302952-1,Carex vulpina L.,NA,NA,"65, 68","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
324494-2,Carex vulpinoidea Michx.,NA,NA,52,C-ValueDB
189321-1,Carlina vulgaris L.,20,n,20,Šmarda et al. 2019
295248-1,Carpinus betulus L.,NA,NA,"16, 32, 64","Šmarda et al. 2019, Zonneveld, 2019"
360773-1,Carpobrotus acinaciformis (L.) L.Bolus,NA,NA,NA,NA
1200427-2,Carpobrotus edulis (L.) N.E.Br.,18,n,NA,NA
360784-1,Carpobrotus glaucescens (Haw.) Schwantes,18,n,NA,NA
189503-1,Carthamus lanatus L.,NA,NA,44,C-ValueDB
324467-2,Carthamus tinctorius L.,NA,NA,24,"C-ValueDB, Zonneveld, 2019"
839677-1,Carum carvi L.,NA,NA,20,"Šmarda et al. 2019, Zonneveld, 2019"
295349-1,Castanea sativa Mill.,NA,NA,"22, 24","Zonneveld, 2019"
395086-1,Catabrosa aquatica (L.) P.Beauv.,20,s,"18, 20, 22","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30194969-2,Catalpa bignonioides Walter,NA,NA,40,"Zonneveld, 2019"
189609-1,Catananche caerulea L.,NA,NA,18,C-ValueDB
395160-1,Catapodium marinum (L.) C.E.Hubb.,28,n,"14, 28","Zonneveld, 2019"
395167-1,Catapodium rigidum (L.) C.E.Hubb.,14,n,NA,NA
839978-1,Caucalis platycarpos L.,NA,NA,22,Šmarda et al. 2019
50881822-1,Cedrus atlantica (Endl.) Carriere,NA,NA,NA,NA
676701-1,Cedrus deodara (Roxb. ex D.Don) G.Don,NA,NA,NA,NA
676705-1,Cedrus libani A.Rich.,NA,NA,NA,NA
927512-1,Celastrus orbiculatus Thunb.,NA,NA,NA,NA
316518-2,Cenchrus echinatus L.,NA,NA,NA,NA
189935-1,Centaurea aspera L.,22,n,NA,NA
330052-2,Centaurea calcitrapa L.,NA,NA,20,"C-ValueDB, Zonneveld, 2019"
190217-1,Centaurea cineraria L.,NA,NA,NA,NA
190310-1,Centaurea cyanus L.,NA,NA,24,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
190331-1,Centaurea debeauxii Godr. & Gren.,44,n,44,C-ValueDB
190371-1,Centaurea diluta Aiton,NA,NA,NA,NA
190753-1,Centaurea jacea L.,44,n,"22, 36, 44","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
190940-1,Centaurea macrocephala Muss.Puschk. ex Willd.,NA,NA,NA,NA
191037-1,Centaurea montana L.,NA,NA,"22, 24, 40, 44","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
191100-1,Centaurea nigra L.,22| 44,v,24,C-ValueDB
191521-1,Centaurea scabiosa L.,14| 20,vs,"20, 40","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
191626-1,Centaurea solstitialis L.,NA,NA,16,C-ValueDB
326619-2,Centaurium erythraea Rafn,40,n,40,"Šmarda et al. 2019, Zonneveld, 2019"
366670-1,Centaurium littorale (Turner ex Sm.),38| 40| c.56,v,40,"Zonneveld, 2019"
366698-1,Centaurium portense (Brot.) Butcher,20,n,NA,NA
366702-1,Centaurium pulchellum (Sw.) Druce,36,p,38,Šmarda et al. 2019
366729-1,Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch,NA,NA,NA,NA
859258-1,Centranthus calcitrapae (L.) Dufr.,NA,NA,32,C-ValueDB
859275-1,Centranthus ruber (L.) DC.,NA,NA,32,"C-ValueDB, Zonneveld, 2019"
622369-1,Cephalanthera damasonium (Mill.) Druce,NA,NA,36,"C-ValueDB, Šmarda et al. 2019"
622389-1,Cephalanthera longifolia (L.) Fritsch,NA,NA,"32, 34","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
622405-1,Cephalanthera rubra (L.) Rich.,NA,NA,36,Šmarda et al. 2019
319110-1,Cephalaria gigantea (Ledeb.) Bobrov,NA,NA,36,C-ValueDB
302288-2,Cerastium alpinum L.,72| 108,v,72,C-ValueDB
329786-2,Cerastium arvense L.,72,n,72,"Šmarda et al. 2019, Zonneveld, 2019"
152118-1,Cerastium brachypetalum Pers.,90,n,90,Šmarda et al. 2019
52333-2,Cerastium cerastoides (L.) Britton,38,n,36,C-ValueDB
152210-1,Cerastium diffusum Pers.,72,n,NA,NA
152255-1,Cerastium fontanum Baumg.,72-180,v,144,"C-ValueDB, Šmarda et al. 2019"
152274-1,Cerastium glomeratum Thuill.,72,n,72,"Šmarda et al. 2019, Zonneveld, 2019"
152458-1,Cerastium nigrescens (H.C.Watson) Edmondston ex H.C.Watson,72| 108,v,NA,NA
152552-1,Cerastium pumilum Curtis,72| 90| 95,v,"72, 90, 108","Šmarda et al. 2019, Zonneveld, 2019"
152623-1,Cerastium semidecandrum L.,36,n,"18, 36","Šmarda et al. 2019, Zonneveld, 2019"
152715-1,Cerastium tomentosum L.,72,s,72,"Šmarda et al. 2019, Zonneveld, 2019"
913782-1,Ceratocapnos claviculata (L.) Lidén,NA,NA,32,"Zonneveld, 2019"
395394-1,Ceratochloa carinata (Hook. & Arn.) Tutin,NA,NA,56,"Zonneveld, 2019"
52506-2,Ceratochloa cathartica (Vahl) Herter,NA,NA,NA,NA
52513-2,Ceratochloa marginata (Nees ex Steud.) B.D.Jacks.,NA,NA,NA,NA
30006047-2,Ceratophyllum demersum L.,NA,NA,24,Šmarda et al. 2019
163088-1,Ceratophyllum submersum L.,NA,NA,"24, 40, 72","Šmarda et al. 2019, Zonneveld, 2019"
485691-1,Cercis siliquastrum L.,NA,NA,NA,NA
113825-1,Cerinthe major L.,NA,NA,NA,NA
77105966-1,Chaenomeles japonica (Thunb.) Spach,NA,NA,34,"Zonneveld, 2019"
722128-1,Chaenomeles speciosa (Sweet) Nakai,NA,NA,34,C-ValueDB
801401-1,Chaenorhinum minus (L.) Lange,14,n,14,"Zonneveld, 2019"
801402-1,Chaenorhinum origanifolium (L.) Kostel.,NA,NA,14,"C-ValueDB, Zonneveld, 2019"
801445-1,Chaenostoma cordatum Benth.,NA,NA,NA,NA
840142-1,Chaerophyllum aureum L.,NA,NA,22,"Zonneveld, 2019"
840199-1,Chaerophyllum hirsutum L.,NA,NA,22,Šmarda et al. 2019
840275-1,Chaerophyllum temulum L.,NA,NA,"14, 22","Šmarda et al. 2019, Zonneveld, 2019"
192489-1,Chamaemelum nobile (L.) All.,18,n,18,C-ValueDB
611374-1,Chamaenerion angustifolium (L.) Scop.,36,n,36,C-ValueDB
436373-1,Chasmanthe bicolor (Gasp. ex Ten.) N.E.Br.,NA,NA,NA,NA
303589-2,Chelidonium majus L.,12,n,12,"C-ValueDB, Šmarda et al. 2019"
77121009-1,"Chenopodiastrum hybridum (L.) S.Fuentes, Uotila & Borsch",18,n,NA,NA
77121007-1,"Chenopodiastrum murale (L.) S.Fuentes, Uotila & Borsch",18 (&36),m,NA,NA
55993-2,Chenopodium album L.,54 (&18|36|72),m,"18, 36, 54","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
56042-2,Chenopodium berlandieri Moq.,36,n,NA,NA
56074-2,Chenopodium bushianum Aellen,NA,NA,36,C-ValueDB
164928-1,Chenopodium ficifolium Sm.,18 (&36),m,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
164949-1,Chenopodium giganteum D.Don,NA,NA,54,"C-ValueDB, Zonneveld, 2019"
60447126-2,Chenopodium opulifolium Schrad. ex W.D.J.Koch & Ziz,54,n,"32, 36, 54","C-ValueDB, Šmarda et al. 2019"
309537-2,Chenopodium pratericola Rydb.,NA,NA,NA,NA
165148-1,Chenopodium probstii Aellen,NA,NA,NA,NA
165175-1,Chenopodium quinoa Willd.,NA,NA,NA,NA
30126588-2,Chenopodium strictum Roth,NA,NA,36,Šmarda et al. 2019
165253-1,Chenopodium suecicum Murr,18,n,18,Šmarda et al. 2019
165311-1,Chenopodium vulvaria L.,18,n,"18, 36, 72","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
152797-1,Cherleria sedoides L.,48| 51-52,v,NA,NA
272530-1,Chiastophyllum oppositifolium (Ledeb.) A.Berger,NA,NA,NA,NA
395729-1,Chimonobambusa quadrangularis (Franceschi) Makino,NA,NA,NA,NA
